original_path,original_name,new_id,ground_truth
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/003655_Soybean Milk machine_count_10.jpg,003655_Soybean Milk machine_count_10.jpg,1b049adf31.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_7.jpg,001834_Soybean Milk machine_count_7.jpg,b8decaa2d7.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_2.jpg,001834_Soybean Milk machine_count_2.jpg,ee00e337ed.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_4.jpg,001834_Soybean Milk machine_count_4.jpg,7778746a72.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_1.jpg,001834_Soybean Milk machine_count_1.jpg,53f63085ef.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_6.jpg,001834_Soybean Milk machine_count_6.jpg,893265934c.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_3.jpg,001834_Soybean Milk machine_count_3.jpg,6086c5bf25.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_8.jpg,001834_Soybean Milk machine_count_8.jpg,b9874a4c93.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_5.jpg,001834_Soybean Milk machine_count_5.jpg,280a803222.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Soybean Milk machine/001834_Soybean Milk machine_count_9.jpg,001834_Soybean Milk machine_count_9.jpg,894e719abf.jpg,Soybean Milk machine
/home/betty/datasets/locount_class_samples/locount_class_samples/Socket/000049_Socket_count_5.jpg,000049_Socket_count_5.jpg,66cc49e170.jpg,Socket
/home/betty/datasets/locount_class_samples/locount_class_samples/Socket/000067_Socket_count_8.jpg,000067_Socket_count_8.jpg,b58aa29688.jpg,Socket
